Seconds	O2	CO2	BP	WVP	FlowRate	Temp	Marker
280	-0.107851	0.1487139	98.09587	2.458319	154.5117	25.52773	-1
281	-0.1055107	0.1468388	98.12212	2.461444	154.4242	25.53867	-1
282	-0.1000462	0.1455888	98.12212	2.461444	154.3305	25.51992	-1
283	-0.1023903	0.1380886	98.10712	2.464881	154.5055	25.52773	-1
284	-0.1164551	0.1421512	98.03963	2.466444	154.493	25.52148	-1
285	-0.1031742	0.1374636	98.07713	2.469882	154.418	25.52617	-1
286	-0.1094246	0.1369948	98.10338	2.470194	154.493	25.5293	-1
287	-0.1031761	0.135901	98.03587	2.472694	154.5367	25.52305	-1
288	-9.46E-02	0.135276	98.07337	2.473632	154.4055	25.51211	-1
289	-0.1055241	0.1318384	98.09212	2.475819	154.2805	25.50742	-1
290	-0.1164646	0.1291821	98.11837	2.477069	154.418	25.49805	-1
291	-8.29E-02	0.1282446	98.01712	2.478944	154.3305	25.49961	-1
292	-0.1047497	0.1269946	98.07713	2.481444	154.0742	25.48867	-1
293	-8.91E-02	0.1224632	98.04338	2.481757	154.0117	25.48711	-1
294	-8.91E-02	0.125432	98.12962	2.482382	154.1242	25.49805	-1
295	-0.1000671	0.1237132	98.03587	2.484257	154.0617	25.49492	-1
296	-9.54E-02	0.1212132	98.08838	2.483944	154.0055	25.49961	-1
297	-0.1055374	0.1205881	98.06962	2.485194	154.0867	25.49648	-1
298	-9.07E-02	0.1160568	98.06587	2.484257	154.1305	25.49336	-1
299	-0.1016331	0.1173068	98.08463	2.484882	154.1242	25.48867	-1
300	-7.82E-02	0.1148067	98.11462	2.487069	154.2055	25.49805	-1
301	-9.15E-02	0.1124629	98.03963	2.490194	154.4617	25.47461	-1
302	-8.84E-02	0.1091816	98.03587	2.490819	154.4305	25.48867	-1
303	-8.45E-02	0.1118379	98.11462	2.492069	154.343	25.48398	-1
304	-8.06E-02	0.1121504	98.09962	2.492382	154.3992	25.4793	-1
305	-7.82E-02	0.1088691	98.11462	2.492382	154.4805	25.48242	-1
306	-8.84E-02	0.1085565	98.05087	2.495507	154.2867	25.49023	-1
307	-7.59E-02	0.1052752	98.06587	2.494882	154.2617	25.48867	-1
308	-7.20E-02	0.1015251	98.11462	2.495507	154.443	25.48086	-1
309	-0.082901	0.1032439	98.05463	2.496132	154.493	25.48242	-1
310	-0.0821209	0.0976188	98.08838	2.49707	154.2742	25.48867	-1
311	-6.96E-02	0.1010563	98.04712	2.497694	154.1617	25.47148	-1
312	-7.59E-02	1.00E-01	98.08463	2.49707	154.1055	25.47461	-1
313	-7.90E-02	9.61E-02	98.08838	2.498632	153.918	25.48242	-1
314	-8.68E-02	9.32E-02	98.07337	2.501445	153.793	25.47148	-1
315	-6.73E-02	9.65E-02	98.03587	2.499882	153.8555	25.47461	-1
